row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),cc_0412,cc_0415,cc_0427,cc_0506,cc_0516,cc_0520,cc_0523,cc_0527,cc_0531,cc_0602,cc_0607,cc_0614,cc_0617,cc_0620,cc_0623,cc_0627,cc_0630,cc_0708,cc_0713,cc_0716,cc_0719,cc_0721,cc_0725,cc_0728,cc_0802,cc_0808,cc_0812
1,31,0.000000,2,1,F,PHY_499,Filler,Yes,7,62,PHY499,Filler,2.638000,0.002549,0.132493,1.119121,0.009792,3.024329,6.699766,11.241703,9.977601,12.913631,12.983052,23.912970,34.060868,41.459393,49.027207,49.993698,65.038459,68.477438,68.369965,91.016436,84.482195,94.804182,91.918924,93.519151,91.990016,81.660613,54.238601,57.714163
1,32,0.000000,1,1,F,PHY_499,Filler,Yes,7,63,PHY499,Filler,11.280000,0.836070,1.101125,1.870769,1.202504,30.827302,44.013742,55.328463,42.444221,49.434521,43.355345,62.107843,72.523931,82.565424,85.284722,83.363892,92.469830,91.656351,85.606502,90.177455,77.981090,88.032846,80.821285,86.052948,82.237088,63.121723,34.459931,43.015909
1,32,0.000000,2,1,F,PHY_499,Filler,Yes,7,64,PHY499,Filler,1.694000,0.056078,0.023276,0.412015,0.000000,4.805555,9.089429,3.491473,6.373406,6.086428,5.032282,19.641733,22.617633,28.052772,36.585342,38.564149,52.329075,57.891133,50.953175,55.814226,49.930421,56.028700,56.259345,65.605321,64.910023,56.901424,31.856255,32.208307
1,33,0.000000,1,1,F,PHY_499,Filler,Yes,7,65,PHY499,Filler,11.274000,0.000000,0.021485,0.373040,0.464159,21.230792,31.237858,44.573222,46.674652,57.397268,55.476785,71.144420,81.974770,90.724056,91.196178,87.702243,95.946145,94.698489,83.171527,90.315640,77.525262,91.168467,82.227865,87.136511,83.632392,63.032850,35.941014,37.553849
1,33,0.000000,2,1,F,PHY_499,Filler,Yes,7,66,PHY499,Filler,8.282000,0.061176,0.055504,1.900463,1.752836,28.956389,36.157752,53.590465,49.468292,59.477940,55.174534,80.386482,83.925603,88.406953,88.628306,85.830978,93.189164,94.505177,86.912032,90.449339,79.343212,91.513422,86.292604,86.837180,85.543351,70.344566,45.585727,45.576928
2,3,405.000000,1,1,C,PHY_499,Visual_Check,Yes,6,5,PHY499,Visual Check,5.392000,0.001274,0.001790,0.001856,0.127301,5.460479,12.090861,17.322483,28.242850,40.542902,41.785210,55.330018,68.117313,87.512503,83.514955,76.557616,90.089908,88.529848,87.126668,97.731874,96.516059,100.257754,95.882642,99.314506,96.086866,90.637129,73.772649,81.492371
2,3,405.000000,2,1,C,PHY_499,Visual_Check,Yes,6,6,PHY499,Visual Check,8.746000,0.144018,0.084151,5.779339,6.030148,41.030763,45.211543,52.847505,56.052664,65.771041,59.439413,87.021566,89.528720,95.789842,96.952119,90.983871,97.951791,98.076966,93.977314,97.724695,96.288528,99.828842,94.478375,97.388409,93.391129,84.821045,60.269344,60.452079
2,4,406.000000,1,1,20,TAMCOT_73,Check,Yes,6,7,TAMCOT 73,Check,7.950000,0.493230,0.222015,4.439364,7.003510,45.187652,51.228266,61.791779,65.044275,74.302723,61.496289,94.550740,89.347432,95.998731,98.252229,91.924950,98.517380,98.871442,97.157263,99.666466,99.611860,100.715869,98.607119,99.899658,98.781312,95.300989,81.435646,81.939907
2,4,406.000000,2,1,20,TAMCOT_73,Check,Yes,6,8,TAMCOT 73,Check,7.652000,0.507250,0.624866,4.168399,9.138249,48.430984,57.262807,67.507712,70.100806,85.131038,62.289207,97.893380,91.970356,98.417978,100.362264,92.568538,99.736212,100.468215,97.510475,99.772348,99.830964,100.787050,99.375186,100.114380,99.447986,94.842204,80.859626,81.471451
2,5,407.000000,1,1,F,PHY_499,Filler,Yes,6,9,11-11-307BB,Dever ,8.948000,0.509799,0.297214,5.216995,6.202494,46.291010,55.225556,68.199815,65.357393,77.651303,67.095782,97.447904,97.586738,99.220406,99.972231,95.970838,99.706297,100.438045,98.683681,99.871051,99.012771,100.507801,97.506686,98.720822,97.616408,90.761083,73.248851,64.041637
2,5,407.000000,2,1,F,PHY_499,Filler,Yes,6,10,11-11-307BB,Dever ,7.526000,0.010196,0.035809,1.351111,2.330586,31.928575,41.814144,54.273724,58.115694,69.795376,64.285241,90.077156,95.320199,97.319241,98.275868,92.275236,98.877742,99.598873,96.161185,98.708143,97.124340,100.363613,96.124783,97.624461,93.827403,85.299320,60.097755,57.161231
2,6,408.000000,1,1,C,PHY_499,Visual_Check,Yes,6,11,PHY499,Visual Check,8.330000,0.388722,0.839720,3.810206,4.353692,37.067849,42.893155,53.997325,57.398408,67.503386,62.434445,95.441692,94.927556,98.189765,98.843188,93.373023,99.540725,99.815650,98.193977,99.766067,98.727017,100.436620,98.771375,99.920988,98.380534,92.957560,73.264164,70.676824
2,6,408.000000,2,1,C,PHY_499,Visual_Check,Yes,6,12,PHY499,Visual Check,9.274000,0.002549,0.028647,1.536703,2.984717,32.014090,38.571172,51.879002,58.495433,71.163138,66.546235,92.670015,95.864062,98.972868,98.793423,95.861897,99.030792,100.183835,96.393534,99.111033,97.083737,100.252279,97.357083,98.548760,95.851949,89.069387,62.975502,57.198040
2,7,409.000000,1,1,30,UA_103,Commercial,Yes,6,13,UA 103,Commercial,8.748000,0.049705,0.112798,1.523711,2.777119,31.069248,37.553536,43.914286,52.397394,65.387882,64.065422,90.911639,92.760063,97.295315,98.127817,95.305462,98.708692,98.928988,96.988472,99.430474,97.426183,100.195699,97.350914,98.213168,95.076852,89.232320,73.014437,53.048400
2,7,409.000000,2,1,30,UA_103,Commercial,Yes,6,14,UA 103,Commercial,6.462000,0.003823,0.007162,0.395311,1.059536,28.768672,35.161894,45.751787,50.933953,63.578906,61.311799,87.247441,94.149346,96.934591,97.481494,92.831671,97.838396,98.816130,92.719712,99.079627,96.885318,100.086189,97.431885,98.293511,95.760305,90.001769,68.948133,59.246644
2,8,410.000000,1,1,10,11-21-703S,Dever,Yes,6,15,11-21-703S,Dever ,10.476000,0.521269,0.529972,7.458948,9.385017,47.705145,55.419580,64.805635,69.083726,81.933399,75.821806,93.350778,94.629537,98.770421,99.744556,96.849905,100.342845,99.702233,97.546943,98.985410,97.308970,100.478598,96.896706,98.956162,96.911011,87.198386,68.363474,61.672078
2,8,410.000000,2,1,10,11-21-703S,Dever,Yes,6,16,11-21-703S,Dever ,5.688000,0.002549,0.010743,0.631013,2.256164,16.218748,25.605224,36.438244,45.444385,59.454718,59.943819,90.343814,95.799506,96.302403,96.161478,93.042011,95.914839,99.661448,94.432634,98.549320,97.076076,100.411068,98.242365,99.334414,96.565735,91.294708,66.586330,61.269296
2,9,411.000000,1,1,C,PHY_499,Visual_Check,Yes,6,17,PHY499,Visual Check,9.390000,0.145293,0.232758,2.512917,3.446918,39.335053,49.577083,62.634243,64.344755,74.990087,70.269417,92.961771,92.756525,97.055139,99.343326,94.943444,99.449591,99.211133,99.322380,99.921300,98.407554,100.602709,98.851574,99.773812,97.158836,89.149294,63.202455,57.768980
