cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812
0.058114,0.0,0.000603,0.00508,0.012947,0.040928,0.089291,0.105768,0.168,0.239446,0.16969,0.223604,0.276892,0.302732,0.373352,0.430502,0.410763,0.381609,0.416433,0.39686,0.360624,0.308006,0.311579,0.233709,0.042401,0.000718
0.058317,7e-06,0.000504,0.021452,0.090089,0.158729,0.221585,0.278175,0.383395,0.442953,0.576766,0.708863,0.762281,0.774466,0.816987,0.806028,0.720907,0.649621,0.672852,0.606703,0.550854,0.450667,0.407697,0.311939,0.022611,0.000626
0.05505,0.0,0.000186,0.014893,0.068554,0.14488,0.215355,0.248137,0.334811,0.418597,0.599179,0.69606,0.759583,0.759008,0.791333,0.816267,0.743823,0.735539,0.775245,0.734813,0.720381,0.63702,0.641911,0.544751,0.135863,0.000521
0.049633,0.0,3.3e-05,0.011015,0.063212,0.144939,0.229046,0.236582,0.320453,0.378561,0.573122,0.670305,0.734997,0.751942,0.786756,0.803217,0.767801,0.738992,0.777158,0.728174,0.722644,0.678388,0.716031,0.695575,0.39345,0.000672
0.047777,0.0,2.2e-05,0.017333,0.079903,0.162769,0.245348,0.322195,0.429752,0.469212,0.679732,0.782854,0.826552,0.849434,0.891234,0.879554,0.854736,0.83499,0.864021,0.818832,0.816153,0.804112,0.792652,0.805503,0.669535,0.000426
0.047992,0.0,2.5e-05,0.026362,0.113997,0.196465,0.277485,0.371446,0.473604,0.561486,0.786647,0.86073,0.902997,0.904213,0.929728,0.937676,0.857786,0.853767,0.886124,0.857022,0.845993,0.802022,0.788581,0.766217,0.436263,0.000118
0.045254,0.0,3e-06,0.018631,0.084167,0.148948,0.205501,0.265603,0.380163,0.479567,0.729059,0.81338,0.864772,0.853093,0.892298,0.895244,0.816231,0.804414,0.848629,0.8112,0.828018,0.760109,0.762113,0.62528,0.094902,0.000234
0.043241,0.0,3.6e-05,0.009884,0.057338,0.111645,0.167311,0.219879,0.298731,0.381943,0.595421,0.674126,0.733377,0.729305,0.765824,0.794217,0.726814,0.694647,0.74786,0.684763,0.680815,0.624147,0.688882,0.599881,0.056238,0.000299
0.046209,0.0,7e-06,0.008298,0.053628,0.107915,0.159482,0.210584,0.288862,0.372021,0.513537,0.597925,0.705301,0.690648,0.743576,0.7834,0.704583,0.66108,0.720289,0.661844,0.641562,0.578682,0.626805,0.451687,0.035704,0.003605
0.041686,0.0,0.0,0.002267,0.027849,0.07979,0.130566,0.139686,0.216214,0.278023,0.372682,0.471573,0.545053,0.580229,0.646653,0.647299,0.644796,0.607294,0.66749,0.634871,0.630514,0.610521,0.57588,0.529286,0.202553,0.000294
