NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818
0.228761,0.27905,0.251154,0.394043,0.458033,0.476483,0.556179,0.645066,0.60014,0.620575,0.538205,0.595304,0.572606,0.512322,0.449353,0.526697,0.387292,0.33219
0.235357,0.258326,0.195178,0.362924,0.485185,0.488035,0.562084,0.623561,0.571438,0.53083,0.518849,0.548755,0.538605,0.520482,0.448483,0.4775,0.361338,0.343229
0.234056,0.250461,0.189981,0.356621,0.445491,0.449446,0.560797,0.639021,0.568723,0.549546,0.533382,0.571352,0.561537,0.525325,0.461598,0.485203,0.372301,0.362851
0.228123,0.225741,0.186465,0.338906,0.476713,0.44544,0.55601,0.606181,0.535491,0.506946,0.503376,0.534358,0.528429,0.511991,0.439433,0.460728,0.355717,0.356228
0.229981,0.231602,0.202228,0.348765,0.391059,0.439044,0.533528,0.607721,0.563566,0.557681,0.511646,0.585771,0.565182,0.485711,0.442278,0.501136,0.35541,0.335554
0.222626,0.22501,0.196297,0.375802,0.444378,0.458277,0.554045,0.616266,0.551071,0.524858,0.507332,0.547561,0.541041,0.497204,0.45144,0.485398,0.365555,0.376971
0.234261,0.220221,0.214726,0.423018,0.444808,0.458207,0.569083,0.622088,0.546306,0.517355,0.516958,0.546545,0.536531,0.501555,0.455626,0.466202,0.371131,0.377752
0.228057,0.226099,0.220697,0.345236,0.418296,0.444358,0.575116,0.624179,0.545189,0.521766,0.517656,0.533591,0.528314,0.497607,0.443499,0.451013,0.367153,0.378864
0.222007,0.238711,0.21497,0.344278,0.404746,0.425793,0.560999,0.627307,0.549578,0.51759,0.526464,0.530927,0.519688,0.491873,0.429259,0.420031,0.347945,0.341139
0.22852,0.258489,0.230281,0.353793,0.394437,0.412039,0.545718,0.620029,0.573249,0.527735,0.529347,0.549902,0.520216,0.500324,0.446606,0.440726,0.341191,0.349101
0.223784,0.239082,0.221884,0.322892,0.361646,0.380379,0.538489,0.622739,0.579622,0.55909,0.522678,0.556927,0.53768,0.498587,0.451014,0.457335,0.353242,0.354685
0.22554,0.244782,0.233562,0.326557,0.42055,0.415102,0.530246,0.607174,0.53047,0.506429,0.507227,0.529242,0.513343,0.497446,0.423999,0.423054,0.321025,0.33332
0.235998,0.216043,0.222563,0.335393,0.359653,0.380966,0.518335,0.59226,0.584067,0.624067,0.484317,0.603573,0.542495,0.477482,0.427698,0.47269,0.339673,0.342911
0.240556,0.250612,0.233246,0.366561,0.452086,0.447759,0.554641,0.600151,0.524251,0.510132,0.503782,0.535793,0.527227,0.503607,0.434503,0.430977,0.343067,0.339802
0.244275,0.221886,0.229603,0.365767,0.452163,0.444901,0.574643,0.600935,0.524482,0.50855,0.510663,0.53724,0.53331,0.506492,0.437362,0.446091,0.342893,0.352422
0.242617,0.251243,0.243985,0.315661,0.447849,0.449021,0.581551,0.601372,0.537601,0.511888,0.518651,0.534986,0.543471,0.51108,0.438107,0.454142,0.347213,0.362496
0.233767,0.234411,0.241044,0.377525,0.40741,0.433462,0.563057,0.583484,0.516738,0.499482,0.510015,0.53526,0.539891,0.499809,0.412656,0.42944,0.314681,0.329112
0.232586,0.26519,0.247215,0.323286,0.437933,0.456245,0.522805,0.657258,0.661668,0.634755,0.594315,0.60384,0.58812,0.529947,0.49382,0.535512,0.402233,0.37569
0.224432,0.255028,0.270275,0.404549,0.449171,0.476529,0.544391,0.584406,0.536213,0.506285,0.500124,0.551574,0.553801,0.514174,0.457491,0.475563,0.376663,0.386375
0.21566,0.26583,0.258322,0.391363,0.454792,0.47326,0.576019,0.590096,0.542911,0.499507,0.500518,0.544341,0.549442,0.524481,0.457964,0.469745,0.387702,0.425803
0.222114,0.22773,0.252876,0.41435,0.461314,0.46615,0.560665,0.580042,0.52967,0.495163,0.491246,0.551544,0.542375,0.513987,0.454913,0.472236,0.382247,0.400839
0.223671,0.254652,0.264789,0.410745,0.449118,0.454142,0.557467,0.586234,0.525276,0.496314,0.485068,0.542904,0.541576,0.508908,0.443598,0.454661,0.391967,0.406536
0.220469,0.244215,0.252541,0.386349,0.450732,0.461549,0.543081,0.582518,0.514933,0.494636,0.486525,0.546168,0.54179,0.502008,0.445692,0.449057,0.384825,0.385052
0.215264,0.272377,0.258522,0.432486,0.453937,0.443094,0.535233,0.577895,0.516694,0.50829,0.486107,0.544653,0.546079,0.500928,0.453916,0.447777,0.395851,0.397481
0.223929,0.248923,0.251418,0.385716,0.449121,0.444078,0.536909,0.585261,0.515675,0.516922,0.495162,0.543116,0.541613,0.498363,0.450614,0.451381,0.385236,0.378728
0.205679,0.241861,0.257574,0.386665,0.449779,0.446722,0.51755,0.596269,0.52865,0.524757,0.496202,0.537501,0.52694,0.491503,0.455656,0.423359,0.36891,0.371334
0.214734,0.23876,0.260759,0.368682,0.455717,0.452386,0.470424,0.562894,0.508055,0.502344,0.481653,0.533897,0.494434,0.475008,0.419774,0.380029,0.346288,0.326961
0.204324,0.257251,0.247824,0.347422,0.353624,0.393891,0.49,0.624174,0.588484,0.638028,0.559548,0.579512,0.571507,0.459891,0.500902,0.472834,0.392225,0.386091
0.188125,0.199983,0.189442,0.418517,0.382776,0.371687,0.493768,0.545489,0.530735,0.548567,0.478427,0.526212,0.559706,0.50428,0.486337,0.423104,0.357176,0.329697
0.204788,0.221446,0.198434,0.412139,0.382854,0.385815,0.518682,0.543093,0.555941,0.561511,0.488202,0.538622,0.572087,0.496862,0.495689,0.431377,0.366782,0.346626
0.21234,0.256773,0.238887,0.420742,0.414889,0.419266,0.515979,0.542621,0.534786,0.533102,0.465597,0.50899,0.535994,0.501727,0.506217,0.444956,0.390373,0.381367
0.231871,0.239721,0.244914,0.45554,0.427463,0.421331,0.521684,0.533942,0.541399,0.532239,0.463076,0.505461,0.530678,0.493813,0.509282,0.454549,0.365744,0.343881
0.241793,0.246452,0.255552,0.475065,0.44623,0.455923,0.533394,0.578392,0.541573,0.540456,0.462824,0.511971,0.539512,0.504456,0.536569,0.477979,0.38613,0.369632
0.213522,0.230734,0.26701,0.457061,0.402897,0.436054,0.528935,0.531604,0.536086,0.533232,0.466847,0.499668,0.537556,0.527675,0.509029,0.456234,0.361227,0.335481
0.234248,0.224073,0.246129,0.326888,0.307091,0.343508,0.4556,0.584752,0.611113,0.578364,0.524278,0.551939,0.570125,0.534047,0.545746,0.494258,0.345716,0.310748
0.22313,0.220278,0.250383,0.417371,0.289516,0.304961,0.451307,0.60902,0.609527,0.582324,0.513558,0.540601,0.55083,0.540374,0.532244,0.480633,0.374122,0.324372
0.226214,0.217528,0.256056,0.358439,0.357851,0.381691,0.508566,0.636274,0.599244,0.604347,0.499887,0.516127,0.543011,0.524073,0.519925,0.47583,0.409017,0.376731
0.219679,0.206804,0.239148,0.390735,0.377907,0.412051,0.530753,0.617575,0.62367,0.624269,0.537916,0.558454,0.579765,0.538708,0.613203,0.591003,0.428886,0.404826
0.230389,0.212139,0.258948,0.423499,0.433878,0.451274,0.539779,0.602762,0.554845,0.567562,0.479953,0.501609,0.515737,0.543573,0.530229,0.518365,0.418186,0.393974
0.233872,0.181813,0.251417,0.439411,0.438148,0.451133,0.56332,0.571306,0.563632,0.558992,0.481895,0.504468,0.512758,0.534207,0.522087,0.50831,0.421411,0.381095
0.234624,0.19052,0.256684,0.413861,0.454107,0.461445,0.557538,0.608055,0.588649,0.580454,0.507723,0.53568,0.538714,0.5431,0.516689,0.493098,0.39709,0.352852
0.228913,0.190644,0.26105,0.436639,0.431539,0.45255,0.552082,0.59433,0.5784,0.562866,0.49645,0.520863,0.517972,0.543395,0.482178,0.438045,0.342169,0.315124
0.232686,0.183829,0.250178,0.327001,0.36332,0.407854,0.497263,0.590793,0.614542,0.607326,0.537435,0.57398,0.560839,0.524131,0.478982,0.438942,0.359948,0.337977
0.243338,0.181326,0.254278,0.355935,0.322647,0.352167,0.469951,0.616562,0.608816,0.602388,0.530265,0.554355,0.552558,0.536406,0.492371,0.477845,0.343779,0.332833
0.240832,0.18536,0.230508,0.30828,0.346963,0.382599,0.490938,0.63584,0.617868,0.607388,0.529847,0.567285,0.547825,0.545791,0.515436,0.523803,0.388867,0.352678
0.235819,0.189884,0.23957,0.325498,0.349011,0.389907,0.497241,0.626967,0.59254,0.592717,0.529679,0.539652,0.542153,0.538027,0.516447,0.536477,0.39285,0.34711
0.234953,0.186074,0.222905,0.322899,0.328591,0.383261,0.510456,0.631987,0.628614,0.61703,0.56974,0.592722,0.562765,0.576002,0.548816,0.578967,0.487926,0.423805
0.251562,0.18346,0.260887,0.3923,0.456432,0.442074,0.552557,0.610018,0.56254,0.579107,0.511057,0.551953,0.554245,0.546307,0.520204,0.509325,0.387546,0.339268
0.237211,0.193091,0.260149,0.404708,0.431602,0.462097,0.602269,0.579223,0.55823,0.564153,0.519198,0.529012,0.540701,0.541775,0.528233,0.544136,0.423719,0.386387
0.230921,0.183929,0.258035,0.403691,0.443234,0.439257,0.562455,0.57672,0.538436,0.552352,0.501098,0.507839,0.533294,0.55192,0.504526,0.520815,0.409198,0.366423
0.229296,0.158897,0.25087,0.287551,0.365555,0.368737,0.528208,0.613555,0.586538,0.584652,0.542454,0.557154,0.560995,0.548324,0.503405,0.523196,0.386337,0.35127
0.230004,0.16117,0.24301,0.294412,0.289346,0.320901,0.506813,0.655462,0.619282,0.63098,0.603278,0.620018,0.576085,0.576103,0.561013,0.585433,0.461152,0.396806
0.234707,0.211437,0.25456,0.347904,0.446604,0.428741,0.540418,0.596419,0.559061,0.553794,0.512034,0.55897,0.544806,0.542593,0.498142,0.514048,0.404628,0.352259
0.231183,0.200548,0.25501,0.349989,0.438539,0.442937,0.556929,0.606751,0.571113,0.568836,0.536159,0.561851,0.552947,0.54724,0.514727,0.537496,0.416319,0.363197
0.21723,0.210758,0.24872,0.349012,0.427304,0.459062,0.55578,0.618988,0.576515,0.576891,0.535809,0.561049,0.548092,0.555748,0.517186,0.536913,0.430542,0.374847
0.229542,0.189911,0.234854,0.341981,0.438179,0.454448,0.569908,0.622386,0.57416,0.587672,0.538226,0.557738,0.550184,0.535649,0.486035,0.50564,0.3893,0.350413
0.221965,0.205964,0.240284,0.349357,0.401949,0.444169,0.561061,0.605134,0.562303,0.553056,0.522779,0.551764,0.533797,0.550022,0.480611,0.498518,0.391072,0.363095
0.218486,0.183966,0.241153,0.325491,0.370892,0.420925,0.529159,0.606461,0.565303,0.550508,0.512578,0.575564,0.56125,0.539334,0.461668,0.488591,0.363936,0.351246
0.209231,0.211726,0.247114,0.318346,0.345815,0.405006,0.526978,0.643571,0.629407,0.628137,0.563031,0.593133,0.567145,0.535656,0.462799,0.499681,0.352904,0.343541
0.227073,0.183208,0.237835,0.27089,0.317018,0.374861,0.499559,0.559891,0.563769,0.567791,0.511891,0.599331,0.574093,0.530405,0.448274,0.47827,0.319866,0.318658
0.214246,0.195874,0.238917,0.261302,0.332133,0.387823,0.536462,0.673618,0.63508,0.638329,0.566005,0.606611,0.578127,0.538115,0.494738,0.543616,0.403329,0.39018
0.218017,0.207144,0.252125,0.369593,0.444555,0.440775,0.553793,0.623179,0.556237,0.571463,0.514732,0.565683,0.530643,0.512636,0.435642,0.466625,0.343158,0.323952
0.194406,0.213395,0.247477,0.272254,0.359099,0.398984,0.539879,0.628852,0.601411,0.600845,0.574643,0.640546,0.596317,0.540383,0.489205,0.571795,0.404269,0.360447
0.201856,0.254759,0.265648,0.412012,0.441781,0.448551,0.579402,0.684129,0.611894,0.643341,0.557896,0.619104,0.574973,0.534095,0.501234,0.597353,0.469666,0.414466
0.217006,0.263618,0.265751,0.374461,0.481173,0.477751,0.57466,0.639132,0.557624,0.574355,0.519294,0.570444,0.541826,0.53799,0.481499,0.520843,0.380313,0.343844
0.225297,0.242207,0.279037,0.372384,0.46264,0.457018,0.569335,0.639311,0.548885,0.573803,0.519065,0.580729,0.558989,0.523638,0.49884,0.538452,0.405772,0.36691
0.221662,0.213024,0.284708,0.362726,0.478327,0.456774,0.537836,0.578548,0.509079,0.51211,0.486068,0.537838,0.510064,0.506789,0.492292,0.504668,0.381233,0.351568
0.224889,0.175637,0.267403,0.288631,0.324564,0.370617,0.510402,0.657309,0.599428,0.597606,0.561394,0.585637,0.548883,0.52799,0.518039,0.542035,0.434618,0.388225
0.218773,0.178695,0.269912,0.302402,0.435735,0.454807,0.557816,0.626154,0.561611,0.566032,0.512919,0.568498,0.5293,0.470389,0.446342,0.469917,0.404235,0.358446
0.232835,0.170234,0.277841,0.360092,0.454448,0.469902,0.572917,0.619919,0.55871,0.564841,0.517301,0.582871,0.535236,0.488639,0.45006,0.459541,0.385802,0.340405
0.237743,0.166959,0.291384,0.295132,0.427377,0.462603,0.567937,0.612023,0.56502,0.583781,0.542704,0.621837,0.584208,0.508682,0.496725,0.511179,0.419138,0.364809
0.234085,0.166332,0.286976,0.363765,0.455739,0.463398,0.560413,0.595032,0.546121,0.574283,0.517097,0.571225,0.542176,0.506688,0.457507,0.456885,0.383216,0.333607
0.241086,0.196525,0.297464,0.329621,0.454514,0.46345,0.575159,0.609082,0.551047,0.564067,0.516108,0.562508,0.537005,0.53101,0.467944,0.449389,0.399498,0.378232
0.23273,0.195318,0.291478,0.335419,0.468132,0.466843,0.560125,0.608301,0.522403,0.559265,0.502944,0.55492,0.534554,0.51294,0.446341,0.451034,0.383784,0.35153
0.224251,0.20485,0.288347,0.32737,0.48374,0.477708,0.560846,0.620487,0.540593,0.567962,0.505981,0.573241,0.543929,0.530691,0.458083,0.469909,0.403663,0.370314
0.22604,0.189028,0.292967,0.405187,0.492123,0.485014,0.536243,0.601799,0.523118,0.575044,0.494934,0.563863,0.531792,0.498459,0.420153,0.412369,0.358702,0.327202
0.223278,0.187932,0.264092,0.263866,0.373761,0.411019,0.506259,0.655196,0.591132,0.626974,0.554473,0.584979,0.548553,0.523131,0.482944,0.492244,0.433485,0.399253
0.227685,0.207634,0.269971,0.316335,0.368032,0.388222,0.514815,0.647473,0.553282,0.612483,0.540421,0.583668,0.583145,0.526317,0.465493,0.493203,0.404552,0.376173
0.224125,0.206166,0.257998,0.291487,0.356779,0.39112,0.520561,0.663169,0.585109,0.633333,0.57292,0.578623,0.564377,0.516983,0.489223,0.522201,0.414012,0.382682
0.220484,0.196262,0.289662,0.334409,0.407459,0.431377,0.547632,0.616196,0.529571,0.594423,0.518869,0.563408,0.549443,0.511178,0.470246,0.493041,0.418231,0.381746
0.218687,0.228047,0.292382,0.353283,0.453846,0.445554,0.552097,0.572629,0.506021,0.547737,0.478297,0.549662,0.532756,0.529127,0.465213,0.471323,0.409622,0.392173
0.22317,0.210162,0.28363,0.402438,0.465237,0.458197,0.540239,0.577781,0.514375,0.570464,0.489295,0.541568,0.526666,0.523667,0.486469,0.498526,0.41851,0.415901
0.222538,0.216086,0.302456,0.39141,0.457046,0.45531,0.540992,0.587089,0.520594,0.583434,0.486501,0.519973,0.52283,0.533952,0.490472,0.502776,0.424129,0.410133
