cc_0412,cc_0415,cc_0427,cc_0506,cc_0516,cc_0520,cc_0523,cc_0527,cc_0531,cc_0602,cc_0614,cc_0617,cc_0620,cc_0623,cc_0627,cc_0630,cc_0708,cc_0713,cc_0716,cc_0719,cc_0721,cc_0725,cc_0728,cc_0802,cc_0808,cc_0812
0.081568,0.021485,0.506667,0.673716,14.172633,16.969178,34.136392,46.896722,61.735096,51.582851,75.444875,83.276751,83.404228,81.462459,95.344382,90.35569,88.20505899999999,95.14224899999999,97.508155,95.75509,93.039407,87.39958100000001,90.716689,71.08595,43.122621,2.161944
0.186077,0.012532999999999999,3.188473,1.353307,32.203893,39.788771999999994,52.741367000000004,64.03163599999999,77.99730699999999,62.57183199999999,84.924012,93.648501,94.075082,90.155922,100.014484,95.097403,93.136481,97.695084,99.125388,97.005323,93.538342,80.58963,84.889585,57.892665,29.066069,0.582856
0.661464,0.134284,5.517654,2.679195,37.030305,47.496274,59.823817000000005,69.709963,80.347351,65.176293,88.52677299999999,94.277008,94.642403,89.576022,100.039528,98.435653,95.653768,99.558789,99.967329,99.16813499999999,96.77871999999999,88.793139,92.06358900000001,69.63748299999999,38.082146,0.8738870000000001
0.336467,0.044761,1.5496940000000001,2.6537349999999997,34.965418,45.643148,57.256623,71.006852,81.622227,65.827899,91.424724,94.352466,93.261425,90.892528,99.64299,99.14464699999999,95.809015,97.526391,99.262519,96.541733,90.696649,73.390052,80.839203,52.699078,27.300705999999998,0.902222
0.067548,0.016114,0.807326,1.306303,33.111191999999996,41.835922,51.598181,64.15821600000001,75.90038100000001,61.914338,87.902436,88.42075600000001,88.658787,82.695164,98.745563,98.28983199999999,92.466525,97.64663,99.228045,94.780455,91.09225,70.62710899999999,76.93725699999999,42.30294,15.922433999999999,0.48593400000000003
0.165685,0.048342,1.9524290000000002,3.828821,33.751515000000005,41.584483,51.604814000000005,61.528907999999994,73.332052,61.727883999999996,89.162607,91.23569499999999,91.39275,83.507191,97.20602199999999,97.883655,95.01819499999999,96.914428,99.186676,95.06518,91.906586,76.288085,79.83048000000001,44.330637,16.888358,0.614899
0.091764,0.069827,1.260171,1.335681,21.399737,23.601629,36.086664,48.513391,65.508635,56.114653000000004,82.306394,86.110095,87.024007,82.64237,94.28973,94.302368,91.487117,95.24902800000001,96.83782,93.519271,89.90005,77.688753,78.925662,52.92710699999999,27.012106,0.9702799999999999
0.075195,0.0,0.452845,0.8225600000000001,13.146447,13.508424,30.244692999999998,42.948319,57.167373,52.797743000000004,81.971233,86.964975,87.349346,82.64656,92.569313,93.766572,89.35638399999999,93.53607099999999,95.386831,93.539348,88.86439399999999,80.301675,82.42941,62.236116,36.809560999999995,1.3836549999999999
0.873031,0.5998,2.564883,3.515464,30.954532,36.448788,47.522953,57.753719999999994,72.173286,61.841719,82.867059,91.12803000000001,91.681387,89.125176,97.774393,94.41690200000001,95.999687,96.47474799999999,96.943541,83.022787,80.325435,59.10394399999999,63.374027000000005,37.121047,20.359795000000002,0.22826999999999997
0.568426,0.211273,1.6888880000000002,2.258123,28.989760999999998,38.339531,48.316771,61.879779000000006,75.842326,61.10768100000001,82.499178,88.50725600000001,87.241729,84.837942,96.906184,95.541572,94.251339,97.154009,97.342678,82.451513,83.906662,64.354674,67.661262,45.215465,18.998863,0.575706
0.768522,0.5890569999999999,3.5132589999999997,3.728938,29.434023999999997,37.846552,51.133829999999996,61.575543,73.970651,63.362787,86.350436,91.864203,90.50195699999999,88.897238,99.90039200000001,96.684678,97.919951,99.242937,100.090671,100.046036,98.10664200000001,95.491463,95.396313,81.411536,48.815683,1.6781279999999998
0.145293,0.085941,0.833309,1.476691,20.029403,25.4112,39.403453000000006,53.367839000000004,72.960504,64.098788,90.038978,91.360845,92.691616,86.634625,97.909355,98.72394399999999,95.87153,98.389599,99.336065,99.35977700000001,96.321427,91.664865,93.059405,75.423164,48.415178000000004,1.7231470000000002
0.341565,0.24708200000000002,1.5496940000000001,1.8703450000000001,30.816872999999998,39.343308,52.069165000000005,62.876872,76.79441899999999,59.563061,85.86317,89.851691,90.942999,89.517362,97.175412,96.374039,95.781925,96.336563,97.616941,93.06115600000001,87.989908,81.701633,81.365185,58.303116,31.450645,1.9781630000000001
0.172057,0.17188299999999998,0.8685709999999999,2.358005,22.048404,27.363318,40.590864,49.454968,65.69440999999999,55.107804,73.583359,81.186021,83.98274599999999,81.801013,91.397787,92.530162,86.895361,92.346244,94.89806,89.31410699999999,87.646746,77.802513,79.19026600000001,53.461901,31.487947,1.431057
0.043332999999999997,0.010743,0.898266,1.267134,24.565897,30.099452000000003,43.445513,53.145768999999994,73.83364300000001,56.884018999999995,77.341763,83.964152,86.265714,83.83904100000001,92.526876,92.043532,89.008381,91.264093,93.882981,87.525452,85.864615,75.731372,80.848884,60.741654000000004,35.946119,0.957039
0.029313,0.0,0.289524,0.910691,11.315163,15.569432999999998,30.218159000000004,45.348895,67.338511,52.487641,67.33645,73.638413,75.446187,70.04799399999999,81.549736,85.34468199999999,74.247454,83.671987,86.07338,83.141423,83.238074,75.617613,78.397099,64.15038299999999,36.519391,2.838545
0.78509,0.24529099999999998,2.030378,5.708958,38.93459,51.135214000000005,66.868677,66.954076,84.45528399999999,64.316644,87.681354,93.89972,93.18553299999999,89.5182,98.692691,92.329588,97.93349599999999,96.919812,98.618997,98.53298000000001,96.206525,91.50489,93.828048,79.266511,51.274078,2.2927619999999997
