ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.013511,-0.00555,-0.011269,-0.005664,0.024217,0.08318,0.113356,0.184259,0.145923,0.241929,0.454826,0.398219,0.45612,0.474526,0.486753,0.437132,0.431599,0.446877,0.414176,0.345032,0.396512,0.348198,0.338006,0.213377,0.114323,-0.021725,-0.026185
-0.01494,-0.003872,-0.015419,-0.005799,-0.00207,0.034238,0.065098,0.139309,0.108855,0.215431,0.404003,0.22526,0.285777,0.343263,0.344772,0.302573,0.366538,0.338247,0.309872,0.216188,0.303787,0.263643,0.273453,0.184922,0.106804,-0.025834,-0.017916
-0.014498,-0.005468,-0.018229,-0.008276,-0.001817,0.042043,0.075593,0.15885,0.133655,0.255829,0.475,0.157115,0.229948,0.26584,0.285837,0.260618,0.263255,0.294583,0.268608,0.167731,0.26837,0.228826,0.242225,0.14857,0.076464,-0.03718,-0.025117
-0.015717,-0.001015,-0.008654,-0.004199,0.031861,0.118217,0.152956,0.24285,0.186465,0.279691,0.464375,0.406446,0.45917,0.433761,0.435669,0.410778,0.383474,0.355457,0.299975,0.197996,0.269712,0.224077,0.230166,0.100877,0.042238,-0.034976,-0.033581
-0.014874,-0.001149,-0.010003,-0.006243,0.030884,0.116378,0.168151,0.273522,0.174323,0.272622,0.498774,0.403012,0.435245,0.42959,0.429864,0.427073,0.411533,0.415334,0.376402,0.262046,0.347003,0.288574,0.292445,0.149712,0.084177,-0.037249,-0.033887
-0.012987,-0.000802,-0.005408,-0.003095,0.029475,0.124541,0.159854,0.258004,0.165546,0.267291,0.447579,0.43112,0.464371,0.459775,0.467218,0.476746,0.440822,0.466204,0.444941,0.358148,0.429169,0.390166,0.386665,0.244513,0.156293,-0.027599,-0.030088
-0.016334,-0.000987,-0.004271,-0.001699,0.034454,0.12696,0.164375,0.253307,0.195023,0.299848,0.480932,0.496699,0.518542,0.485115,0.492708,0.491624,0.45651,0.491711,0.463975,0.380412,0.436487,0.42094,0.417565,0.289086,0.196091,-0.027391,-0.027921
-0.017713,-0.002033,-0.001921,-0.001458,0.028453,0.14814,0.168901,0.265482,0.209262,0.286915,0.513409,0.517443,0.522177,0.492467,0.471326,0.46709,0.446387,0.446122,0.414049,0.295693,0.376164,0.304999,0.30832,0.18479,0.104217,-0.041783,-0.042404
-0.016698,-0.002521,-0.004326,-0.00222,0.041624,0.123998,0.137256,0.228947,0.165861,0.256717,0.453258,0.470536,0.485691,0.478595,0.446797,0.438197,0.4256,0.418131,0.391991,0.259989,0.338013,0.264547,0.273486,0.145248,0.081611,-0.044606,-0.033837
-0.016567,-0.005221,-0.0058,-0.001625,0.013462,0.092431,0.119281,0.206678,0.148111,0.234859,0.398494,0.413713,0.438126,0.457459,0.41813,0.418298,0.406203,0.424881,0.400412,0.268052,0.343013,0.273547,0.277825,0.14944,0.078082,-0.050822,-0.040415
-0.015616,-0.005846,-0.009956,0.000192,0.023373,0.097188,0.129116,0.217534,0.162074,0.261539,0.426428,0.367843,0.430118,0.42556,0.427951,0.413146,0.395397,0.419571,0.378598,0.250131,0.326357,0.27221,0.267717,0.145631,0.083194,-0.047154,-0.031573
-0.014134,-0.003539,-0.013085,-0.001261,0.021175,0.089176,0.124377,0.227204,0.141445,0.277891,0.425571,0.32642,0.397606,0.393174,0.384067,0.383984,0.361451,0.424567,0.365541,0.282479,0.366771,0.353504,0.327972,0.204165,0.12528,-0.017625,-0.02858
