max_value,max_growth_rate,half_max_growth_rate,first_day_half_max,second_day_half_max,duration_half_max
0.8101617445330407,0.025824110905237063,0.012927386701821367,51.0,79.0,29.0
0.9284681092483994,0.029948010044078544,0.015003566088429692,46.0,74.0,29.0
1.019535293568428,0.030776661441578312,0.015439903064298592,45.0,74.0,30.0
0.9768855960390341,0.032718738579573525,0.016385887555614344,46.0,73.0,28.0
0.9011042195624056,0.03111013008316732,0.015572853460691054,47.0,73.0,27.0
0.8738419715010248,0.029472634416327637,0.014755902725440273,47.0,74.0,28.0
0.8101151973410108,0.02763162626484572,0.01382751391295153,50.0,76.0,27.0
0.7801430720089535,0.027711997335755356,0.01386262433135583,52.0,77.0,26.0
0.8663893389326228,0.029668597578691447,0.014851014187738954,48.0,74.0,27.0
0.8411110194260377,0.030491398461673924,0.015257096139705266,48.0,72.0,25.0
0.9026018133692975,0.029391841460668644,0.014718867445269955,48.0,75.0,28.0
0.8455092087153462,0.0298238160278963,0.014922044300885989,50.0,75.0,26.0
0.8591772356910319,0.030029884884319458,0.015028750756481062,48.0,74.0,27.0
0.7743858487472027,0.02424082304330888,0.012139409817971646,50.0,78.0,29.0
0.4291845496574833,0.0,-1.3877787807814457e-11,1.0,2.0,2.0
0.3222285818230804,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.9012387629921196,0.028127647377917953,0.01409765274881943,46.0,75.0,30.0
0.8805141073041383,0.030318465904510816,0.015177085947514846,47.0,73.0,27.0
0.3859225749267839,0.0,0.0,1.0,2.0,2.0
0.5791879993576138,0.0,0.0,1.0,2.0,2.0
0.9226524570528198,0.03071446461055949,0.015375364114593275,49.0,75.0,27.0
0.8214628109846738,0.026776873440770288,0.013402345856353788,51.0,78.0,28.0
0.2546334771292877,0.0,0.0,1.0,2.0,2.0
0.20587520298403897,0.0,0.0,1.0,2.0,2.0
0.7460084244981067,0.026166344702094335,0.013096170171857276,48.0,73.0,26.0
0.4542499482344263,0.0,0.0,1.0,2.0,2.0
0.4465423990969011,0.0,0.0,1.0,2.0,2.0
0.5131684853222088,0.0,-2.7755575615628914e-11,1.0,3.0,3.0
0.5549178537550985,0.0,0.0,1.0,2.0,2.0
0.5080527272961171,0.0,0.0,1.0,2.0,2.0
0.430644014991279,0.0,0.0,1.0,2.0,2.0
0.4092966029357529,0.0,0.0,1.0,2.0,2.0
0.35876361947591934,0.0,-2.7755575615628914e-11,1.0,23.0,23.0
0.24312374378940715,0.0,0.0,1.0,2.0,2.0
0.36101106686199896,0.0,0.0,1.0,2.0,2.0
0.4891746774975089,0.0,0.0,1.0,2.0,2.0
0.5001920073564445,0.0,0.0,1.0,2.0,2.0
0.5390177287976263,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.3546223019877379,0.0,0.0,1.0,2.0,2.0
0.5356441095677188,0.0,0.0,1.0,2.0,2.0
0.5780767647059136,0.0,0.0,1.0,2.0,2.0
0.5604146059595431,0.0,0.0,1.0,2.0,2.0
0.5210097665036643,0.0,0.0,1.0,2.0,2.0
0.4316227924727761,0.0,0.0,1.0,2.0,2.0
0.40211144644201335,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.47823714836698655,0.0,0.0,1.0,2.0,2.0
0.32469203651429324,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.5510909922964343,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.5313160061520199,0.0,0.0,1.0,2.0,2.0
0.5223474572917021,0.0,0.0,1.0,2.0,2.0
0.5178065515653458,0.0,0.0,1.0,2.0,2.0
0.44081223529410957,0.0,0.0,1.0,2.0,2.0
0.6040913749847663,0.0,0.0,1.0,2.0,2.0
0.5933524668705914,0.0,0.0,1.0,2.0,2.0
0.609042679487199,0.0,0.0,1.0,2.0,2.0
0.626625737898676,0.0,0.0,1.0,2.0,2.0
0.6045909687293242,0.0,0.0,1.0,2.0,2.0
0.5582296479167105,0.0,0.0,1.0,2.0,2.0
0.5392289440711264,0.0,0.0,1.0,2.0,2.0
0.5179149007405808,0.0,-5.551115123125783e-11,1.0,5.0,5.0
0.5050652453384462,0.0,-2.7755575615628914e-11,1.0,3.0,3.0
0.2869363325884541,0.0,-2.7755575615628914e-11,1.0,3.0,3.0
1.0184896214218384,0.03243151619480855,0.016247409885582556,47.0,75.0,29.0
0.9536712753595008,0.03200021517213436,0.016020927682676933,48.0,74.0,27.0
0.9671530972463929,0.028425643394669464,0.014266823207683636,45.0,75.0,31.0
0.9782860886392011,0.02964333439825495,0.014872567952818648,45.0,74.0,30.0
0.9810660934298155,0.03201672305053194,0.01604646755453006,44.0,71.0,28.0
0.9145053940262837,0.0306667426730467,0.01535966883898837,46.0,72.0,27.0
0.40687584395417503,0.0,0.0,1.0,2.0,2.0
0.39185551756277937,0.0,0.0,1.0,2.0,2.0
0.4763350124027281,0.0,0.0,1.0,2.0,2.0
0.49118431217887,0.0,0.0,1.0,2.0,2.0
0.608485555555555,0.0,0.0,1.0,2.0,2.0
0.6034110415043793,0.0,0.0,1.0,2.0,2.0
0.573394063757309,0.0,-2.7755575615628914e-11,1.0,2.0,2.0
0.5480312924178624,0.0,0.0,1.0,2.0,2.0
