max_value,max_growth_rate,half_max_growth_rate,first_day_half_max,second_day_half_max,duration_half_max
0.8101617445330407,0.025824110905237063,0.012927386701821367,51.0,79.0,29.0
0.9284681092483994,0.029948010044078544,0.015003566088429692,46.0,74.0,29.0
1.019535293568428,0.030776661441578312,0.015439903064298592,45.0,74.0,30.0
0.9768855960390341,0.032718738579573525,0.016385887555614344,46.0,73.0,28.0
0.9011042195624056,0.03111013008316732,0.015572853460691054,47.0,73.0,27.0
0.8738419715010248,0.029472634416327637,0.014755902725440273,47.0,74.0,28.0
0.8101151973410108,0.02763162626484572,0.01382751391295153,50.0,76.0,27.0
0.7801430720089535,0.027711997335755356,0.01386262433135583,52.0,77.0,26.0
0.8663893389326228,0.029668597578691447,0.014851014187738954,48.0,74.0,27.0
0.8411110194260377,0.030491398461673924,0.015257096139705266,48.0,72.0,25.0
0.9026018133692975,0.029391841460668644,0.014718867445269955,48.0,75.0,28.0
0.8455092087153462,0.0298238160278963,0.014922044300885989,50.0,75.0,26.0
0.8591772356910319,0.030029884884319458,0.015028750756481062,48.0,74.0,27.0
0.7743858487472027,0.02424082304330888,0.012139409817971646,50.0,78.0,29.0
0.7598102202990893,0.024514448720980297,0.012272417726356238,50.0,78.0,29.0
0.6038382047261556,0.017983316003000738,0.009007038974403568,52.0,82.0,31.0
0.9012387629921196,0.028127647377917953,0.01409765274881943,46.0,75.0,30.0
0.8805141073041383,0.030318465904510816,0.015177085947514846,47.0,73.0,27.0
0.7321621668824737,0.024097892875607485,0.01205721327644018,54.0,81.0,28.0
0.9589001748363454,0.03185597405308549,0.015952418275992468,47.0,74.0,28.0
0.9226524570528198,0.03071446461055949,0.015375364114593275,49.0,75.0,27.0
0.8214628109846738,0.026776873440770288,0.013402345856353788,51.0,78.0,28.0
0.5230981302564233,0.01365249527318646,0.006847286318647323,54.0,89.0,36.0
0.42287094725021085,0.00847924803981659,0.004318754693384726,50.0,97.0,48.0
0.7460084244981067,0.026166344702094335,0.013096170171857276,48.0,73.0,26.0
0.7840084152657505,0.025285529225982373,0.012661268492179084,49.0,76.0,28.0
0.7898386324676856,0.023471245030881605,0.0117639758850604,49.0,79.0,31.0
0.8738322969274225,0.027753150694254103,0.013902186745166304,48.0,76.0,29.0
0.905828442460942,0.032211575906604395,0.016121392679187684,47.0,72.0,26.0
0.8647416110393306,0.0325280779811532,0.01627103994923407,50.0,74.0,25.0
0.7550508624625337,0.026634645766687726,0.01332565893021333,51.0,76.0,26.0
0.7303683419805308,0.023189072689833168,0.011610467162860702,50.0,78.0,29.0
0.6625865905289061,0.017940470331545555,0.008996730148819491,52.0,85.0,34.0
0.47060171022382813,0.009121066887884943,0.004679814117605416,46.0,94.0,49.0
0.6378881600639517,0.014966370448510347,0.007575099810765672,45.0,83.0,39.0
0.8275238829609607,0.024365326090070027,0.012224065144746934,46.0,76.0,31.0
0.817053129113976,0.02684879707448573,0.01344122059058247,49.0,76.0,28.0
0.8947369699303708,0.030478020107693737,0.015257684734558732,47.0,73.0,27.0
0.60684294196745,0.018809621027404688,0.00942517533639132,48.0,76.0,29.0
0.914246128423568,0.027758271237132703,0.013914713329997571,47.0,76.0,30.0
0.9166113059584597,0.030492764341305545,0.01526756352215246,48.0,74.0,27.0
0.9040088688371055,0.03179340557490917,0.015909045392331917,49.0,74.0,26.0
0.8415274736930075,0.02942391785776266,0.014723895534136446,49.0,75.0,27.0
0.7267071118477133,0.022129813592730585,0.011086233147301698,50.0,79.0,30.0
0.7133393477704232,0.02154226852457697,0.010787540424063739,52.0,81.0,30.0
0.7984328803862071,0.02542165414287645,0.012728548995965596,50.0,78.0,29.0
0.5656906787403974,0.01622066420070567,0.008130609022529746,50.0,81.0,32.0
0.8855813970687545,0.030894223956856592,0.015460213404872948,49.0,74.0,26.0
0.8457063051773666,0.02969172124833719,0.014858713605448251,49.0,74.0,26.0
0.8429382773948595,0.030198831352246103,0.015109473229186814,49.0,74.0,26.0
0.8229879116773435,0.027811797170818053,0.013923067409564905,48.0,74.0,27.0
0.6519143279962033,0.016771274619076237,0.008503002277759561,39.0,73.0,35.0
0.9283419923789553,0.0294113059740031,0.014743796808192348,45.0,73.0,29.0
0.9396040381849957,0.03170971155097568,0.01587500447265168,48.0,74.0,27.0
0.9408469117829424,0.03216996166677255,0.016106546442642866,47.0,72.0,26.0
0.9713449859782755,0.0344606382041146,0.01724711178375019,47.0,72.0,26.0
0.9411547849274274,0.034083295463727126,0.017055149737299033,48.0,72.0,25.0
0.9210118349709414,0.03208920909547608,0.016062042245304865,47.0,73.0,27.0
0.8862527467345231,0.03225328809586259,0.01613906082748381,48.0,72.0,25.0
0.8610149429696364,0.027303088928620767,0.013681114055253936,46.0,74.0,29.0
0.8465467913047401,0.02677001323392325,0.013413060874310897,47.0,75.0,29.0
0.4756998961451434,0.013717450508821116,0.006890290328071978,45.0,75.0,31.0
1.0184896214218384,0.03243151619480855,0.016247409885582556,47.0,75.0,29.0
0.9536712753595008,0.03200021517213436,0.016020927682676933,48.0,74.0,27.0
0.9671530972463929,0.028425643394669464,0.014266823207683636,45.0,75.0,31.0
