max_value,max_growth_rate,half_max_growth_rate,first_day_half_max,second_day_half_max,duration_half_max
1.1328553138714756,0.02792240400006918,0.014146355978555264,42.0,77.0,36.0
1.2724407787026664,0.02846119712129891,0.014705461669119874,35.0,74.0,40.0
1.3786960291500785,0.03099817019736051,0.01593274102104983,37.0,76.0,40.0
1.4056537776633447,0.032263269778010084,0.016535431824130087,38.0,76.0,39.0
1.2379705771522278,0.030544309193025754,0.015534326262833797,39.0,74.0,36.0
1.1991142914694906,0.028204916735496965,0.014438006454026847,37.0,74.0,38.0
1.2201522270298943,0.029676282709001356,0.015073299151381614,40.0,76.0,37.0
1.149213856005187,0.030513492288442023,0.015378644622077858,43.0,77.0,35.0
1.215872487408056,0.030537073647529667,0.015536595540264694,38.0,73.0,36.0
1.1860468682494971,0.028731495294032072,0.01465354650164244,38.0,74.0,37.0
1.2037164936394518,0.026754353010804977,0.01378016073862523,37.0,76.0,40.0
1.1615759576014435,0.028411768437930363,0.014427570671146639,40.0,76.0,37.0
1.2316401560059838,0.030025184782900283,0.015291558749710304,38.0,74.0,37.0
1.1553577857216328,0.02697461010114921,0.013722061373462602,41.0,79.0,39.0
1.175120738357522,0.027975676109015524,0.014230429164685185,40.0,77.0,38.0
0.9757203915901906,0.0253532018434921,0.012790332289060354,43.0,77.0,35.0
1.2623118608351822,0.03312776475361545,0.016777158653004734,39.0,73.0,35.0
1.2256088013450988,0.03024702355247655,0.015411393143203653,38.0,73.0,36.0
1.0834206996401394,0.027403232127909405,0.013805476421118248,46.0,81.0,36.0
1.2807464068214685,0.032455516441043386,0.016479432358648682,39.0,73.0,35.0
1.2804538716829108,0.030963855923715755,0.015743960814088367,40.0,76.0,37.0
1.2360011662940222,0.02958438949374198,0.015004869294331716,42.0,79.0,38.0
0.9763919304098964,0.02536271531683454,0.012766841761611795,46.0,80.0,35.0
0.9563662997758525,0.024286887806423962,0.012228754346383514,47.0,82.0,36.0
1.1869845716473801,0.03053847907885654,0.015471834248232536,40.0,74.0,35.0
1.1765630241899294,0.028510069471909816,0.014492697292907072,40.0,76.0,37.0
1.1036203936935352,0.026537750108523994,0.013489844197201936,40.0,77.0,38.0
1.1676821715545849,0.02925340270021337,0.014832519928649826,40.0,75.0,36.0
1.2141578046835464,0.030468165934660618,0.015492454363439864,38.0,73.0,36.0
1.2163642249653375,0.030863679501003105,0.015648602991105015,40.0,74.0,35.0
1.0942587600298264,0.027924849821392428,0.014138034835735336,41.0,75.0,35.0
1.1006831214275996,0.027589459772325853,0.013975204664730748,41.0,76.0,36.0
1.006927908632638,0.02558321443579814,0.012899885647741152,45.0,80.0,36.0
1.0386604277740346,0.0230270918999409,0.011700841325359979,44.0,85.0,42.0
1.1472411244549348,0.027790638734703776,0.014109975941334688,41.0,77.0,37.0
1.17511645458014,0.028511879246462257,0.014535066830906676,38.0,74.0,37.0
1.198646868725544,0.029649435184797568,0.015029373654461275,41.0,76.0,36.0
1.2031291813819642,0.030608892809258492,0.015556838557162847,38.0,72.0,35.0
1.1358902341133343,0.02904013562954333,0.014656552947754468,43.0,78.0,36.0
1.2542187659948947,0.031223393870405403,0.015852943041844494,40.0,75.0,36.0
1.2276779505302027,0.029650654487234362,0.015115498941918604,38.0,74.0,37.0
1.2366023845417884,0.031945840084368626,0.01616327631600526,41.0,75.0,35.0
